Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB,Tm,BA,OBP,SLG,OPS,BAbip,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,WPA,cWPA,RE24,Tm,RA/G,PAu,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,BA,OBP,SLG,OPS,BAbip,TB,GDP,HBP,SH,SF,IBB,ROE,Tm,RA/G,Ptn%,HR%,SO%,BB%,SO-BB%,XBH%,X/H%,GB/FB,GO/AO,IP%,LD%,HR/FB,IF/FB,Opp,DP,%,PAu,year
Cleveland Guardians,28,26.3,3.91,92,70,.568,3.46,162,162,161,1,8,0,51,1456.0,1252,634,560,172,435,14,1390,57,2,49,5989,110,3.75,1.159,7.7,1.1,2.7,8.6,3.20,1018,Cleveland Guardians,.230,.292,.373,.665,.275,2.9%,23.2%,7.3%,88.5,39.8%,24.0%,42.2%,25.7%,0.74,10.2,4.1%,69.0,Cleveland Guardians,3.91,,162,5989,5447,634,1252,246,10,172,94,29,435,1390,.230,.292,.373,.665,.275,2034,107,57,14,36,14,43,Cleveland Guardians,3.91,52%,2.9%,23.2%,7.3%,16.0%,7.2%,34%,0.74,0.95,65%,24%,8.5%,13%,1032,107,10%,0,2022
Colorado Rockies,25,29.1,5.39,68,94,.420,5.06,162,162,161,1,6,1,43,1425.1,1516,873,802,184,539,12,1187,59,3,65,6240,92,4.38,1.442,9.6,1.2,3.4,7.5,2.20,1110,Colorado Rockies,.272,.340,.446,.786,.313,3.0%,19.0%,8.6%,89.1,42.1%,25.2%,43.9%,25.0%,0.79,-5.9,-1.9%,-121.1,Colorado Rockies,5.39,,162,6240,5569,873,1516,326,46,184,101,28,539,1187,.272,.340,.446,.786,.313,2486,134,59,12,59,12,37,Colorado Rockies,5.39,43%,3.0%,19.0%,8.6%,10.4%,8.9%,37%,0.79,1.12,68%,25%,8.3%,10%,1175,134,11%,0,2022
Detroit Tigers,33,27.5,4.40,66,96,.407,4.04,162,162,162,0,8,0,38,1419.2,1336,713,637,167,511,9,1195,57,2,59,6047,96,4.16,1.301,8.5,1.1,3.2,7.6,2.34,1086,Detroit Tigers,.247,.316,.393,.709,.285,2.8%,19.8%,8.5%,88.9,40.3%,23.5%,41.4%,27.1%,0.72,-5.4,-1.1%,-50.1,Detroit Tigers,4.40,,162,6047,5405,713,1336,237,26,167,79,33,511,1195,.247,.316,.393,.709,.285,2126,122,57,17,56,9,49,Detroit Tigers,4.40,46%,2.8%,19.8%,8.5%,11.3%,7.1%,32%,0.72,0.89,68%,23%,7.8%,13%,1145,122,11%,0,2022
Houston Astros,22,29.4,3.20,106,56,.654,2.90,162,162,159,3,18,1,53,1445.1,1121,518,465,134,458,6,1524,60,6,56,5856,135,3.28,1.092,7.0,0.8,2.9,9.5,3.33,1017,Houston Astros,.212,.281,.332,.613,.269,2.3%,26.0%,7.8%,87.9,37.2%,22.9%,42.3%,25.9%,0.74,20.1,6.9%,173.8,Houston Astros,3.20,,162,5856,5295,518,1121,204,16,134,76,23,458,1524,.212,.281,.332,.613,.269,1759,110,60,13,30,6,30,Houston Astros,3.20,47%,2.3%,26.0%,7.8%,18.2%,6.1%,32%,0.74,0.92,63%,23%,7.3%,16%,1032,110,11%,0,2022
Kansas City Royals,33,27.3,5.00,65,97,.401,4.70,162,162,162,0,9,0,33,1416.0,1493,810,740,173,589,15,1191,71,6,88,6249,86,4.42,1.470,9.5,1.1,3.7,7.6,2.02,1204,Kansas City Royals,.271,.346,.425,.770,.314,2.8%,19.1%,9.4%,88.8,41.4%,25.4%,43.4%,24.2%,0.78,-7.8,-0.9%,-123.0,Kansas City Royals,5.00,,162,6249,5505,810,1493,273,26,173,58,25,589,1191,.271,.346,.425,.770,.314,2337,135,71,19,65,15,40,Kansas City Royals,5.00,47%,2.8%,19.1%,9.4%,9.6%,7.6%,32%,0.78,1.00,67%,25%,8.0%,12%,1302,135,10%,0,2022
Los Angeles Angels,35,27.4,4.12,73,89,.451,3.77,162,162,160,2,17,2,38,1435.2,1241,668,601,168,540,23,1383,60,3,64,6038,108,3.96,1.241,7.8,1.1,3.4,8.7,2.56,1085,Los Angeles Angels,.230,.306,.379,.684,.277,2.8%,22.9%,8.9%,88.0,37.2%,23.6%,42.0%,26.4%,0.74,3.2,-1.4%,30.0,Los Angeles Angels,4.12,,162,6038,5386,668,1241,264,15,168,99,23,540,1383,.230,.306,.379,.684,.277,2039,121,60,17,33,23,40,Los Angeles Angels,4.12,44%,2.8%,22.9%,8.9%,14.0%,7.4%,36%,0.74,0.98,64%,24%,8.4%,13%,1106,121,11%,0,2022
Los Angeles Dodgers,31,28.8,3.17,111,51,.685,2.80,162,162,161,1,15,1,43,1451.1,1114,513,451,152,407,13,1465,75,3,38,5865,148,3.45,1.048,6.9,0.9,2.5,9.1,3.60,1015,Los Angeles Dodgers,.209,.273,.344,.617,.256,2.6%,25.0%,6.9%,86.8,34.5%,21.8%,42.2%,26.4%,0.75,19.0,6.6%,233.4,Los Angeles Dodgers,3.17,,162,5865,5336,513,1114,223,22,152,68,19,407,1465,.209,.273,.344,.617,.256,1837,101,75,15,32,13,46,Los Angeles Dodgers,3.17,38%,2.6%,25.0%,6.9%,18.0%,6.8%,36%,0.75,0.92,64%,22%,8.2%,17%,959,101,11%,0,2022
Miami Marlins,32,27.6,4.17,69,93,.426,3.86,162,162,156,6,10,1,41,1437.1,1311,676,617,173,511,19,1437,76,3,54,6056,106,3.90,1.268,8.2,1.1,3.2,9.0,2.81,1088,Miami Marlins,.242,.314,.406,.720,.296,2.9%,23.7%,8.4%,87.7,37.1%,23.7%,44.7%,24.2%,0.82,0.4,-0.2%,35.4,Miami Marlins,4.17,,162,6056,5423,676,1311,314,28,173,92,27,511,1437,.242,.314,.406,.720,.296,2200,124,76,14,32,19,36,Miami Marlins,4.17,43%,2.9%,23.7%,8.4%,15.3%,8.5%,39%,0.82,1.16,63%,24%,9.1%,13%,1060,124,12%,0,2022
Milwaukee Brewers,33,28.6,4.25,86,76,.531,3.83,162,162,162,0,11,0,52,1446.0,1238,688,615,190,521,12,1530,67,4,47,6057,105,3.92,1.216,7.7,1.2,3.2,9.5,2.94,1057,Milwaukee Brewers,.229,.302,.388,.691,.281,3.1%,25.3%,8.6%,87.2,36.5%,22.3%,43.7%,26.2%,0.79,3.6,2.6%,33.2,Milwaukee Brewers,4.25,,162,6057,5406,688,1238,240,26,190,79,28,521,1530,.229,.302,.388,.691,.281,2100,101,67,13,44,12,39,Milwaukee Brewers,4.25,45%,3.1%,25.3%,8.6%,16.7%,7.5%,37%,0.79,1.03,62%,22%,10.1%,13%,1049,101,10%,0,2022
Minnesota Twins,39,28.9,4.22,78,84,.481,3.98,162,162,162,0,17,0,28,1437.0,1320,684,636,184,468,19,1336,66,4,50,6042,99,4.03,1.244,8.3,1.2,2.9,8.4,2.85,1071,Minnesota Twins,.242,.307,.400,.707,.286,3.1%,22.1%,7.8%,88.3,38.6%,24.2%,39.8%,27.8%,0.67,0.6,-0.5%,2.0,Minnesota Twins,4.22,,162,6042,5458,684,1320,270,20,184,92,23,468,1336,.242,.307,.400,.707,.286,2182,107,66,10,39,19,36,Minnesota Twins,4.22,54%,3.1%,22.1%,7.8%,14.4%,7.9%,36%,0.67,0.84,66%,24%,8.6%,14%,1055,107,10%,0,2022
New York Mets,33,31.2,3.74,101,61,.623,3.57,162,162,162,0,19,0,41,1438.2,1274,606,570,169,428,13,1565,71,2,35,5950,110,3.50,1.183,8.0,1.1,2.7,9.8,3.66,1041,New York Mets,.236,.299,.377,.675,.299,2.8%,26.3%,7.2%,87.7,38.1%,23.0%,43.4%,25.2%,0.78,12.8,6.7%,94.0,New York Mets,3.74,,162,5950,5408,606,1274,232,12,169,86,28,428,1565,.236,.299,.377,.675,.299,2037,117,71,12,27,13,26,New York Mets,3.74,54%,2.8%,26.3%,7.2%,19.1%,6.9%,32%,0.78,1.00,62%,23%,9.2%,15%,1056,117,11%,0,2022
New York Yankees,33,29.2,3.50,99,63,.611,3.30,162,162,161,1,16,1,47,1451.2,1177,567,532,157,444,10,1459,65,5,40,5938,119,3.56,1.117,7.3,1.0,2.8,9.0,3.29,1047,New York Yankees,.219,.285,.355,.640,.269,2.6%,24.6%,7.5%,87.5,36.5%,22.9%,44.1%,24.3%,0.80,13.0,8.1%,138.8,New York Yankees,3.50,,162,5938,5380,567,1177,247,8,157,49,28,444,1459,.219,.285,.355,.640,.269,1911,90,65,13,27,10,37,New York Yankees,3.50,47%,2.6%,24.6%,7.5%,17.1%,6.9%,35%,0.80,1.04,64%,23%,8.5%,15%,1039,90,9%,0,2022
Oakland Athletics,35,28.0,4.75,60,102,.370,4.52,162,162,162,0,7,0,34,1426.1,1394,770,717,195,503,37,1203,72,5,62,6121,82,4.41,1.330,8.8,1.2,3.2,7.6,2.39,1087,Oakland Athletics,.254,.323,.428,.750,.290,3.2%,19.7%,8.2%,88.4,39.4%,22.9%,41.3%,27.4%,0.71,-8.5,-0.7%,-102.0,Oakland Athletics,4.75,,162,6121,5491,770,1394,313,28,195,77,29,503,1203,.254,.323,.428,.750,.290,2348,118,72,15,38,37,40,Oakland Athletics,4.75,45%,3.2%,19.7%,8.2%,11.4%,8.8%,39%,0.71,0.91,67%,23%,9.1%,14%,1161,118,10%,0,2022
Philadelphia Phillies,33,29.2,4.23,87,75,.537,3.97,162,162,159,3,15,1,42,1428.1,1330,685,630,150,463,16,1423,68,3,47,6006,101,3.60,1.255,8.4,0.9,2.9,9.0,3.07,1052,Philadelphia Phillies,.245,.310,.391,.701,.303,2.5%,23.7%,7.7%,87.4,35.6%,24.2%,44.1%,24.7%,0.80,2.3,1.3%,23.2,Philadelphia Phillies,4.23,,162,6006,5430,685,1330,286,28,150,56,37,463,1423,.245,.310,.391,.701,.303,2122,106,68,10,35,16,30,Philadelphia Phillies,4.23,46%,2.5%,23.7%,7.7%,16.0%,7.7%,35%,0.80,1.06,65%,24%,7.7%,13%,1113,106,10%,0,2022
Pittsburgh Pirates,36,27.3,5.04,62,100,.383,4.66,162,162,162,0,6,0,33,1421.0,1432,817,735,164,586,23,1250,87,5,62,6263,89,4.27,1.420,9.1,1.0,3.7,7.9,2.13,1197,Pittsburgh Pirates,.259,.337,.411,.748,.305,2.6%,20.0%,9.4%,88.3,39.9%,24.4%,43.9%,23.8%,0.79,-7.6,-1.0%,-110.4,Pittsburgh Pirates,5.04,,162,6263,5539,817,1432,324,14,164,92,32,586,1250,.259,.337,.411,.748,.305,2276,128,87,13,34,23,71,Pittsburgh Pirates,5.04,51%,2.6%,20.0%,9.4%,10.6%,8.0%,35%,0.79,1.08,66%,24%,7.9%,13%,1246,128,10%,0,2022
San Diego Padres,30,30.3,4.07,89,73,.549,3.81,162,162,162,0,15,0,48,1443.1,1263,660,611,173,468,6,1451,88,5,54,6047,100,3.82,1.199,7.9,1.1,2.9,9.0,3.10,1076,San Diego Padres,.232,.301,.377,.679,.283,2.9%,24.0%,7.7%,88.1,38.4%,23.4%,41.3%,27.4%,0.71,9.0,4.9%,34.3,San Diego Padres,4.07,,162,6047,5433,660,1263,234,17,173,89,13,468,1451,.232,.301,.377,.679,.283,2050,105,88,8,48,6,28,San Diego Padres,4.07,42%,2.9%,24.0%,7.7%,16.3%,7.0%,34%,0.71,0.91,64%,23%,8.5%,13%,1097,105,10%,0,2022
Seattle Mariners,29,27.9,3.85,90,72,.556,3.59,162,162,162,0,10,0,40,1447.0,1277,623,577,186,447,24,1391,56,0,45,5986,104,3.90,1.191,7.9,1.2,2.8,8.7,3.11,1047,Seattle Mariners,.235,.298,.389,.688,.281,3.1%,23.2%,7.5%,87.9,37.8%,23.5%,39.5%,28.3%,0.66,7.9,4.2%,57.4,Seattle Mariners,3.85,,162,5986,5429,623,1277,240,19,186,89,35,447,1391,.235,.298,.389,.688,.281,2113,100,56,18,35,24,28,Seattle Mariners,3.85,44%,3.1%,23.2%,7.5%,15.8%,7.4%,35%,0.66,0.82,65%,24%,8.9%,14%,1038,100,10%,0,2022
San Francisco Giants,34,29.1,4.30,81,81,.500,3.85,162,162,161,1,8,0,39,1433.0,1397,697,613,132,441,16,1370,52,2,53,6070,104,3.43,1.283,8.8,0.8,2.8,8.6,3.11,1090,San Francisco Giants,.253,.313,.390,.702,.312,2.2%,22.6%,7.3%,87.8,39.0%,23.3%,47.5%,22.5%,0.93,2.1,0.1%,15.0,San Francisco Giants,4.30,,162,6070,5517,697,1397,301,28,132,86,22,441,1370,.253,.313,.390,.702,.312,2150,112,52,18,37,16,34,San Francisco Giants,4.30,46%,2.2%,22.6%,7.3%,15.3%,7.6%,33%,0.93,1.22,67%,23%,6.9%,11%,1127,112,10%,0,2022
St. Louis Cardinals,32,29.4,3.93,93,69,.574,3.79,162,162,159,3,17,1,37,1435.2,1335,637,605,146,489,11,1177,60,3,43,6014,104,3.94,1.270,8.4,0.9,3.1,7.4,2.41,1088,St. Louis Cardinals,.247,.314,.382,.696,.288,2.4%,19.6%,8.1%,88.0,38.0%,23.6%,47.5%,22.8%,0.91,9.6,4.6%,64.4,St. Louis Cardinals,3.93,,162,6014,5409,637,1335,249,21,146,49,20,489,1177,.247,.314,.382,.696,.288,2064,157,60,14,39,11,30,St. Louis Cardinals,3.93,48%,2.4%,19.6%,8.1%,11.4%,6.9%,31%,0.91,1.27,69%,24%,7.4%,11%,1204,157,13%,0,2022
Tampa Bay Rays,40,29.1,3.79,86,76,.531,3.41,162,162,162,0,10,0,44,1435.2,1260,614,544,172,384,15,1384,66,4,54,5930,107,3.68,1.145,7.9,1.1,2.4,8.7,3.60,1038,Tampa Bay Rays,.232,.289,.379,.669,.279,2.9%,23.3%,6.5%,87.4,36.2%,22.6%,42.4%,25.6%,0.75,9.6,6.7%,66.5,Tampa Bay Rays,3.79,,162,5930,5424,614,1260,239,21,172,76,26,384,1384,.232,.289,.379,.669,.279,2057,98,66,15,34,15,43,Tampa Bay Rays,3.79,45%,2.9%,23.3%,6.5%,16.9%,7.3%,34%,0.75,0.95,66%,23%,8.7%,15%,1019,98,10%,0,2022
Texas Rangers,31,28.3,4.59,68,94,.420,4.22,162,162,161,1,10,1,37,1435.0,1345,743,673,169,581,16,1314,71,7,66,6167,94,4.17,1.342,8.4,1.1,3.6,8.2,2.26,1140,Texas Rangers,.247,.325,.397,.722,.293,2.7%,21.3%,9.4%,88.2,38.4%,23.8%,45.2%,23.9%,0.84,-9.7,-2.4%,-55.4,Texas Rangers,4.59,,162,6167,5452,743,1345,279,18,169,104,27,581,1314,.247,.325,.397,.722,.293,2167,123,71,16,44,16,40,Texas Rangers,4.59,41%,2.7%,21.3%,9.4%,11.9%,7.6%,35%,0.84,1.10,65%,24%,8.5%,12%,1212,123,10%,0,2022
Toronto Blue Jays,33,29.7,4.19,92,70,.568,3.87,162,162,162,0,10,0,46,1441.1,1356,679,620,180,424,15,1390,76,5,29,6053,98,3.85,1.235,8.5,1.1,2.6,8.7,3.28,1069,Toronto Blue Jays,.247,.308,.399,.707,.297,3.0%,23.0%,7.0%,88.6,39.6%,25.0%,41.4%,25.5%,0.72,4.0,2.6%,14.7,Toronto Blue Jays,4.19,,162,6053,5493,679,1356,260,19,180,83,33,424,1390,.247,.308,.399,.707,.297,2194,97,76,14,42,15,36,Toronto Blue Jays,4.19,50%,3.0%,23.0%,7.0%,16.0%,7.6%,34%,0.72,0.91,66%,25%,8.7%,13%,1131,97,9%,0,2022
Washington Nationals,36,29.7,5.28,55,107,.340,5.00,162,162,160,2,4,0,28,1411.2,1469,855,785,244,558,12,1220,75,2,59,6220,78,4.98,1.436,9.4,1.6,3.6,7.8,2.19,1143,Washington Nationals,.266,.339,.452,.791,.298,3.9%,19.6%,9.0%,88.7,41.1%,22.8%,41.4%,28.0%,0.72,-16.1,-1.8%,-175.6,Washington Nationals,5.28,,162,6220,5522,855,1469,245,26,244,97,28,558,1220,.266,.339,.452,.791,.298,2498,106,75,13,51,12,51,Washington Nationals,5.28,51%,3.9%,19.6%,9.0%,10.6%,8.3%,35%,0.72,0.91,66%,23%,11.1%,12%,1212,106,9%,0,2022
